*----------------------------------------------------------------------------
* Output table number  :  0 (=first output table)
* Output table format  : Spreadsheet output
* Simulation results
* LINTUL2
 
TIME	LAI	WSOTHA	WSO	WST	WLV	WRT	TSUM	DAVTMP	DTR	VP	ROOTD	PTRAN	PEVAP	TRAN	EVAP	TRANRF	WA	WC	YEAR	RAIN	TRAIN
 
   30.0000    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	 0.54545    	  0.0000    	  0.0000    	  3.8500    	  4.6650    	 0.75600    	 0.10000    	  0.0000    	 0.72635    	  0.0000    	 0.72635    	  0.0000    	  36.000    	 0.36000    	  2018.0    	  0.0000    	  0.0000    
   31.0000    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	 0.54545    	  0.0000    	  0.0000    	  5.6500    	 0.76000    	 0.90500    	 0.10000    	  0.0000    	 0.14113    	  0.0000    	 0.13747    	  0.0000    	  35.274    	 0.35274    	  2018.0    	  13.500    	  0.0000    
   32.0000    	  0.0000    	  0.0000    	  0.0000    	  0.0000    	 0.54545    	  0.0000    	  0.0000    	  2.8000    	  2.6000    	 0.70800    	 0.10000    	  0.0000    	 0.43851    	  0.0000    	 0.43851    	  0.0000    	  36.000    	 0.36000    	  2018.0    	  3.8000    	  13.500    
   33.0000    	 1.20000E-02	  0.0000    	  0.0000    	  0.0000    	 0.54545    	  0.0000    	  2.8000    	  3.5500    	  3.9860    	 0.78200    	 0.11200    	 1.88819E-03	 0.63796    	 1.88819E-03	 0.63796    	  1.0000    	  40.320    	 0.36000    	  2018.0    	  5.6000    	  17.300    
   34.0000    	 1.23896E-02	  0.0000    	  0.0000    	 7.29201E-03	 0.55961    	 2.14471E-02	  6.3500    	  2.0500    	  2.9090    	 0.67700    	 0.12400    	 7.15940E-04	 0.41633    	 7.15940E-04	 0.41633    	  1.0000    	  44.640    	 0.36000    	  2018.0    	  1.2000    	  22.900    
   35.0000    	 1.26203E-02	  0.0000    	  0.0000    	 1.27859E-02	 0.57027    	 3.76055E-02	  8.4000    	 0.80000    	  4.1240    	 0.60400    	 0.13600    	 1.79365E-03	 0.60281    	 1.79365E-03	 0.60281    	  1.0000    	  48.960    	 0.36000    	  2018.0    	 0.10000    	  24.100    
   36.0000    	 1.27115E-02	  0.0000    	  0.0000    	 2.07188E-02	 0.58567    	 6.09377E-02	  9.2000    	 0.40000    	  5.6100    	 0.59300    	 0.14800    	 4.55269E-03	 0.80815    	 4.55269E-03	 0.79825    	  1.0000    	  52.772    	 0.35657    	  2018.0    	  0.0000    	  24.200    
   37.0000    	 1.27573E-02	  0.0000    	  0.0000    	 3.15880E-02	 0.60677    	 9.29057E-02	  9.6000    	 -1.9000    	  5.5450    	 0.49700    	 0.16000    	 2.36974E-03	 0.70442    	 2.36974E-03	 0.68382    	  1.0000    	  56.289    	 0.35181    	  2018.0    	 0.10000    	  24.200    
   38.0000    	 1.27573E-02	  0.0000    	  0.0000    	 4.23697E-02	 0.62770    	 0.12462    	  9.6000    	 -2.2000    	  7.6140    	 0.48500    	 0.17200    	 5.27578E-03	 0.93959    	 5.27578E-03	 0.90252    	  1.0000    	  60.020    	 0.34895    	  2018.0    	  0.0000    	  24.300    
